id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Fading Signal,Grey Static,alternative rock,moody,0.74,138,0.45,0.61,0.24
12,Broken Antenna,The Hollow Wires,alternative rock,intense,0.83,146,0.52,0.64,0.17
13,Tokyo Sunset Drive,Miki Aoyama,city pop,happy,0.68,116,0.79,0.80,0.28
14,Neon Harbor,Sailing Cassette,city pop,relaxed,0.58,108,0.72,0.74,0.34
15,Velvet Hours,Suede Marlowe,r&b,relaxed,0.52,96,0.68,0.71,0.42
16,Slow Confession,Ivory Lane,r&b,moody,0.48,88,0.55,0.66,0.48
17,Backyard Fireworks,Curfew Kids,pop punk,happy,0.88,168,0.74,0.77,0.09
18,Last Summer Regret,Detention Hall,pop punk,intense,0.90,172,0.58,0.72,0.08
19,Overworld Theme,Pixel Forge,video game music,happy,0.70,140,0.76,0.68,0.20
20,Final Boss Ascent,Pixel Forge,video game music,intense,0.94,160,0.40,0.59,0.06
